"title","frequency"
"(#1.1)",9
"(#1.10)",1
"(#1.11)",1
"(#1.115)",1
"(#1.1187)",1
"(#1.13)",1
"(#1.14)",3
"(#1.1487)",1
"(#1.14980)",1
"(#1.15)",2
"(#1.1566)",1
"(#1.1586)",1
"(#1.1669)",1
"(#1.17)",2
"(#1.18)",1
"(#1.1883)",1
"(#1.195)",1
"(#1.2)",5
"(#1.20)",1
"(#1.203)",1
"(#1.211)",1
"(#1.2151)",1
"(#1.22)",1
"(#1.225)",1
"(#1.23)",1
"(#1.2327)",1
"(#1.24)",1
"(#1.242)",1
"(#1.25)",1
"(#1.26)",1
"(#1.2631)",1
"(#1.27)",1
"(#1.2752)",1
"(#1.28)",2
"(#1.281)",2
"(#1.3)",1
"(#1.30)",1
"(#1.31)",1
"(#1.3135)",1
"(#1.32)",1
"(#1.33)",1
"(#1.332)",1
"(#1.3368)",1
"(#1.3472)",1
"(#1.3482)",1
"(#1.39)",1
"(#1.4)",5
"(#1.46)",1
"(#1.4751)",1
"(#1.5)",2
"(#1.50)",1
"(#1.5032)",1
"(#1.5151)",1
"(#1.52)",1
"(#1.531)",1
"(#1.5408)",1
"(#1.56)",1
"(#1.6)",3
"(#1.60)",1
"(#1.6091)",1
"(#1.63)",1
"(#1.6494)",1
"(#1.7)",1
"(#1.70)",1
"(#1.7078)",1
"(#1.725)",1
"(#1.738)",1
"(#1.74)",1
"(#1.7929)",1
"(#1.8)",4
"(#1.814)",1
"(#1.83)",1
"(#1.84)",1
"(#1.865)",1
"(#1.8695)",1
"(#1.89)",1
"(#1.9)",2
"(#1.9219)",1
"(#1.930)",1
"(#1.97)",1
"(#1.9714)",1
"(#10.108)",1
"(#10.132)",1
"(#10.34)",1
"(#11.11)",1
"(#11.59)",1
"(#12.11)",1
"(#12.16)",1
"(#12.67)",1
"(#12.96)",1
"(#15.33)",1
"(#15.63)",1
"(#15.95)",1
"(#16.103)",1
"(#16.137)",1
"(#16.4)",1
"(#17.80)",1
"(#2.11)",1
"(#2.2)",1
"(#2.20)",1
"(#2.23)",2
"(#2.3)",1
"(#2.4)",2
"(#2.52)",1
"(#2.55)",1
"(#2.6)",1
"(#2.8)",1
"(#2.87)",1
"(#2.9)",1
"(#20.25)",1
"(#25.62)",1
"(#26.132)",1
"(#27.60)",1
"(#3.12)",1
"(#3.164)",1
"(#3.2)",1
"(#3.21)",1
"(#3.23)",1
"(#3.241)",1
"(#3.3)",1
"(#3.31)",1
"(#3.336)",1
"(#3.4)",2
"(#3.56)",1
"(#34.14)",1
"(#38.2)",1
"(#38.51)",1
"(#4.148)",1
"(#4.159)",1
"(#4.180)",1
"(#4.2)",1
"(#4.25)",1
"(#4.264)",1
"(#4.7)",1
"(#4.9)",1
"(#4.96)",1
"(#42.60)",1
"(#47.31)",1
"(#5.2)",1
"(#5.233)",1
"(#5.26)",1
"(#5.3)",1
"(#5.8)",2
"(#58.96)",1
"(#6.15)",1
"(#6.274)",1
"(#7.181)",1
"(#7.7)",1
"(#8.10)",2
"(#8.20)",1
"(#8.22)",1
"(#8.26)",1
"(#8.298)",1
"(#9.184)",1
"(#9.71)",1
"(1950-04-18)",1
"(1957-03-23)",1
"(1958-11-09)",1
"(1967-01-09)",1
"(1970-07-24)",1
"(1971-05-11)",1
"(1973-05-27)",1
"(1974-05-20)",1
"(1974-06-24)",1
"(1975-03-20)",1
"(1976-02-19)",1
"(1977-07-27)",1
"(1978-01-09)",1
"(1980-04-03)",1
"(1981-11-08)",1
"(1983-04-12)",1
"(1984-04-07)",1
"(1989-03-18)",1
"(1993-12-14)",1
"(1994-11-13)",1
"(1994-11-25)",1
"(1995-02-06)",1
"(1995-05-10)",1
"(1995-06-05)",1
"(1996-06-30)",1
"(1996-10-31)",1
"(1996-12-17)",1
"(1997-02-25)",1
"(1997-07-31)",1
"(1998-04-30)",1
"(1998-08-31)",1
"(1998-09-03)",1
